product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
40723413,Bandana Box Logo sweatshirt,Bandana box logo sweatshirt Supreme Blue size XL International in Cotton ,Men,Men Clothing,All seasons,Very good condition,10,TRUE,Supreme,Cotton,Blue,150,125,121.25,,24881930,Italy,3,0
40688833,T-shirt,T,Men,Men Clothing,All seasons,Very good condition,29,TRUE,Fendi,Cotton,Black,119.44,99.53,85.69,,237731,France,40,8
40673399,Swimwear,Swimwear Burberry Red size S International in Polyamide ,Men,Men Clothing,All seasons,Very good condition,3,TRUE,Burberry,Polyamide,Red,70.29,58.58,44.73,,2007981,Italy,29,30
40718152,Jacket,Jacket Baracuta Blue size 44 UK ,Men,Men Clothing,All seasons,Good condition,5,TRUE,Baracuta,Synthetic,Blue,194.94,159.75,138.98,,24758946,Italy,1,4
40716974,Sweatshirt,Sweatshirt Jean Paul Gaultier Black size L International in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",21,TRUE,Jean Paul Gaultier,Cotton,Black,330,300,291,,19922767,United States,1,2
40712165,Wool shirt,Wool shirt Our Legacy Black size L International in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,21,TRUE,Our Legacy,Wool,Black,64.35,53.62,49.88,,24734840,United Kingdom,18,16
40712362,Swimwear,Swimwear Versace Black size M International in Polyester ,Men,Men Clothing,All seasons,Very good condition,27,TRUE,Versace,Polyester,Black,85,77.27,74.27,,5931649,United States,20,6
40704605,Jacket,Jacket Kenzo Black size XL International in Synthetic ,Men,Men Clothing,All seasons,Good condition,4,TRUE,Kenzo,Synthetic,Black,228.76,190.64,165.85,,15596880,France,14,5
40695505,Faux fur coat,Faux fur coat Acne Studios Beige size 44 IT in Faux fur ,Men,Men Clothing,Autumn / Winter,Very good condition,28,TRUE,Acne Studios,Faux fur,Beige,137,112.79,109.05,,12936549,United Kingdom,39,4
40694079,Cashmere pull,Cashmere pull Ermenegildo Zegna White size 48 IT in Cashmere ,Men,Men Clothing,Autumn / Winter,Very good condition,18,TRUE,Ermenegildo Zegna,Cashmere,White,127.8,106.5,103.31,,24868768,Italy,1,0
40686332,T-shirt,T,Men,Men Clothing,All seasons,Never worn,34,TRUE,Tom Ford,Cotton,Blue,75.72,68.84,65.84,,16066887,United States,210,63
40658823,Swimwear,Swimwear Moncler Blue size M International in Polyester ,Men,Men Clothing,All seasons,Good condition,8,TRUE,Moncler,Polyester,Blue,76.68,63.9,50.06,,8605365,Spain,16,3
40669345,T-shirt,T,Men,Men Clothing,All seasons,"Never worn, with tag",23,TRUE,Moschino,Cotton,Black,103.97,85.2,71.36,,24153555,Italy,4,8
40668372,Puffer,Puffer Norse Projects Blue size L International in Polyester ,Men,Men Clothing,Autumn / Winter,Very good condition,12,TRUE,Norse Projects,Polyester,Blue,270.94,225.78,185.14,,23158933,Germany,13,0
40668063,T-shirt,T,Men,Men Clothing,All seasons,Never worn,7,TRUE,Online Ceramics,Cotton,White,58.48,47.93,31.95,,23850418,Germany,9,4
40533757,Sweatshirt,Sweatshirt Dolce & Gabbana Ecru size L International in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",17,TRUE,Dolce & Gabbana,Cotton,Ecru,305,251.11,188.33,,18136264,United Kingdom,5254,948
40663797,Sweatshirt,Sweatshirt ED HARDY Burgundy size M International in Cotton ,Men,Men Clothing,All seasons,Very good condition,8,TRUE,ED HARDY,Cotton,Burgundy,203.2,169.34,138.85,,10746766,Poland,342,304
40662146,Jacket,Jacket Boglioli Navy size 54 IT in Cotton ,Men,Men Clothing,All seasons,Good condition,5,TRUE,Boglioli,Cotton,Navy,58.24,48.53,32.56,,24372341,Slovakia,22,49
40637853,Jacket,Jacket Moose Knuckles White size M International in Synthetic ,Men,Men Clothing,All seasons,"Never worn, with tag",7,TRUE,Moose Knuckles,Synthetic,White,263.73,219.78,180.22,,17488730,Poland,196,203
40657697,Bermuda,Bermuda Dsquared2 Pink size 48 IT in Polyester ,Men,Men Clothing,Spring / Summer,Never worn,5,TRUE,Dsquared2,Polyester,Pink,83.07,69.23,55.38,,11060477,Italy,39,3
